0:4:30 | [CMD] GSpor1991(7) => /meslek
0:4:33 | Alehart206(9): kac para geldý :D
0:4:33 | eren1616(16) oyuna girdi [IP: 95.10.27.132]
0:4:34 | [CMD] GSpor1991(7) => /meslek
0:4:39 | [CMD] bay.potiy(14) => /pm 0 skorlar kaçtan baþlýyo
0:4:39 | Dark_Alone_(24): para 5 k verýyo
0:4:42 | (TR)Emirhan.(6): polis nerdesin
0:4:44 | 
0:4:46 | Dark_Alone_(24): sf de
0:4:50 | [CMD] Bonnet237(29) => /icerigir
0:4:55 | GravLaunch(25): eren sen serverde duramýyon la
0:4:58 | GSpor1991(7) Yol Iscisi olarak spawn oldu.
0:4:58 | [CMD] bay.potiy(14) => /basarimlar
0:4:58 | eren1616(16) Itfaiyeci olarak spawn oldu.
0:5:3 | GravLaunch(25): eren sen serverde duramýyon la
0:5:5 | [CMD] Jodor(18) => /vtamir
0:5:6 | [CMD] eren1616(16) => /admgiris
0:5:9 | (TR)Emirhan.(6): serinin þirketin ordayým ceza kesebilirmisin
0:5:10 | Alehart206(9): adam 10 ken 15 ken k alýyo sen 25 ken 5 k mý 
0:5:14 | [CMD] GSpor1991(7) => /work
0:5:14 | eren1616(16): modlar crash veriyor
0:5:19 | [CMD] Dark_Alone_(24) => /kemer
0:5:23 | [CMD] eren1616(16) => /araba
0:5:27 | [CMD] GSpor1991(7) => /work
0:5:30 | [CMD] eren1616(16) => /admins
0:5:30 | [CMD] GSpor1991(7) => /work
0:5:31 | [CMD] GSpor1991(7) => /work
0:5:35 | [CMD] eren1616(16) => /modifiye
0:5:37 | [CMD] GSpor1991(7) => /work
0:5:38 | [CMD] eren1616(16) => /sca
0:5:40 | [CMD] eren1616(16) => /sac
0:5:46 | Alehart206(9): kg 
0:5:46 | Bonnet237(29) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:5:50 | Alehart206(9) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:6:16 | [KAMYONCU] GravLaunch, Quarry Top'den Tugayogullari Insaat'e Tas tasidi. Kazanc: 50247$, 1 Skor ve 5 EXP Sure: 221 Saniye
0:6:18 | [LOCAL][cCc]HulkHulk[cCc](17): ts su8nucunz neydii
